BAND ;TASK FULFILMENT & CONTENT (40);LANGUAGE USE & STYLE (20);TEXT ORGANISATION & PRESENTATION (40) ;
;•        Sources used wholly inappropriately;;•        Conclusion bears no resemblance to introduction or body of text;
;•        Any attempt to build a line of reasoning is unsuccessful;;;
29/22 Fail;•        A mixture of elements from 1& 2;;;
;•        Fails to address the general scope of the task;•        Little evidence of basic sentence structure;•        No attempt to introduce topic or draw conclusions;
A clear fail (15/7) is poor ;•        Focus can be perceived only with difficulty;•        Basic errors in grammar and punctuation predominate obstructing meaning;•        No sections ;
;•        No attempt to build a line of reasoning;•        Frequent poor word choice or form obscures meaning ;•        No attempt at paragraphing ;
;•        No discernible attempt to establish stance;•        No evidence of academic style;•        No logical coherence ;
;•        Sources not used;;•        No attempt at even basic cohesion;
;;;•        Inadequate presentation ;
0;•        No attempt at task;•        Incomprehensible due to lack of control of structure or word choice/form;•        No awareness of academic conventions is evidenced;
;•        Evidence of cheating;;;
;•        Memorised script;;;
